iter	Passed	Remaining
0	0	46
1	0	44
2	1	40
3	1	37
4	1	36
5	2	35
6	2	34
7	2	34
8	3	33
9	3	33
10	4	32
11	4	32
12	4	31
13	5	31
14	5	31
15	5	30
16	6	30
17	6	30
18	6	29
19	7	29
20	7	28
21	7	28
22	8	28
23	8	27
24	9	27
25	9	26
26	9	26
27	10	26
28	10	25
29	10	25
30	11	24
31	11	24
32	11	24
33	12	23
34	12	23
35	12	23
36	13	22
37	13	22
38	14	21
39	14	21
40	14	21
41	14	20
42	15	20
43	15	19
44	16	19
45	16	19
46	16	18
47	17	18
48	17	18
49	18	18
50	19	18
51	19	18
52	20	17
53	20	17
54	21	17
55	21	16
56	22	16
57	22	16
58	23	16
59	23	15
60	23	15
61	24	14
62	24	14
63	25	14
64	25	13
65	26	13
66	26	13
67	27	12
68	27	12
69	28	12
70	28	11
71	29	11
72	29	10
73	29	10
74	30	10
75	30	9
76	31	9
77	31	9
78	32	8
79	32	8
80	33	7
81	33	7
82	34	7
83	34	6
84	35	6
85	35	5
86	35	5
87	36	4
88	36	4
89	37	4
90	37	3
91	38	3
92	38	2
93	39	2
94	39	2
95	40	1
96	40	1
97	40	0
98	41	0
99	41	0
