iter	Passed	Remaining
0	49	49638
1	50	25167
2	50	16922
3	51	12792
4	51	10306
5	52	8646
6	52	7472
7	53	6586
8	53	5894
9	54	5349
10	54	4899
11	55	4529
12	55	4209
13	55	3932
14	56	3693
15	56	3486
16	57	3305
17	57	3140
18	57	2994
19	58	2861
20	58	2740
21	59	2632
22	59	2534
23	60	2444
24	60	2360
25	60	2281
26	61	2211
27	61	2144
28	62	2085
29	62	2026
30	63	1975
31	63	1923
32	64	1876
33	64	1831
34	64	1790
35	65	1750
36	65	1715
37	66	1679
38	66	1643
39	67	1610
40	67	1580
41	67	1550
42	68	1522
43	68	1495
44	69	1469
45	69	1446
46	70	1424
47	70	1404
48	71	1383
49	71	1362
50	72	1342
51	72	1322
52	72	1302
53	73	1284
54	73	1266
55	74	1249
56	74	1232
57	74	1215
58	75	1199
59	75	1184
60	75	1169
61	76	1155
62	76	1142
63	77	1128
64	77	1115
65	77	1103
66	78	1091
67	78	1079
68	79	1067
69	79	1056
70	79	1045
71	80	1035
72	80	1024
73	81	1017
74	81	1008
75	82	1000
76	82	993
77	83	991
78	84	983
79	84	977
80	85	970
81	85	962
82	86	952
83	86	944
84	87	937
85	87	930
86	88	923
87	88	916
88	88	909
89	89	903
90	89	896
91	90	890
92	90	884
93	91	878
94	91	872
95	92	866
96	92	861
97	92	854
98	93	849
99	93	844
100	94	839
101	94	834
102	95	829
103	95	825
104	96	821
105	96	816
106	97	812
107	97	808
108	98	804
109	98	799
110	99	794
111	99	789
112	99	784
113	100	780
114	100	776
115	101	771
116	101	766
117	102	762
118	102	760
119	103	757
120	103	753
121	104	749
122	104	745
123	105	741
124	105	738
125	105	734
126	106	730
127	106	727
128	107	723
129	107	720
130	108	716
131	108	714
132	109	711
133	109	708
134	110	705
135	110	702
136	110	699
137	111	695
138	112	693
139	112	690
140	112	688
141	113	684
142	113	681
143	114	678
144	114	675
145	115	673
146	115	670
147	115	667
148	116	664
149	116	662
150	117	659
151	117	657
152	118	655
153	118	652
154	119	649
155	119	646
156	119	644
157	120	642
158	120	639
159	121	637
160	121	634
161	122	632
162	122	630
163	123	627
164	123	625
165	124	623
166	124	620
167	124	618
168	125	616
169	125	614
170	126	612
171	126	610
172	127	608
173	127	606
174	128	604
175	128	602
176	129	600
177	129	597
178	129	595
